seqnames,start,end,strand,gene_id,gene_name
chr1,11869,14409,+,ENSG00000223972,DDX11L1
chr1,14404,29570,-,ENSG00000227232,WASH7P
chr1,29554,31109,+,ENSG00000243485,MIR1302-2HG
chr1,34554,36081,-,ENSG00000237613,FAM138A
chr1,52473,53312,+,ENSG00000268020,AL627309.6
chr1,57598,64116,+,ENSG00000240361,OR4G11P
chr1,65419,71585,+,ENSG00000186092,OR4F5
chr1,89295,133723,-,ENSG00000238009,AL627309.1
chr1,89551,91105,-,ENSG00000239945,AL627309.3
chr1,131025,134836,+,ENSG00000233750,CICP27
chr1,134901,139379,-,ENSG00000237683,AL627309.1
chr1,135141,135895,-,ENSG00000268903,AL627309.7
chr1,137682,137965,-,ENSG00000269981,AL627309.8
chr1,139790,140339,-,ENSG00000239906,AL627309.2
chr1,141474,173862,-,ENSG00000241860,AL627309.5
chr1,157784,157887,-,ENSG00000222623,RNU6-1100P
chr1,160446,161525,+,ENSG00000241599,AL627309.4
chr1,227615,267253,-,ENSG00000228463,AP006222.2
chr1,326096,328112,+,ENSG00000250575,RP4-669L17.8
chr1,329431,332236,-,ENSG00000233653,CICP7
chr1,334126,334305,+,ENSG00000224813,RP4-669L17.4
chr1,367640,368634,+,ENSG00000235249,OR4F29
chr1,379105,379467,-,ENSG00000269732,WBP1LP7
chr1,450820,450910,-,ENSG00000256186,AL732372.1
chr1,453633,460480,-,ENSG00000236601,RP4-669L17.2
chr1,459656,461954,+,ENSG00000236743,RP5-857K21.15
chr1,470971,471355,+,ENSG00000236679,RP4-669L17.1
chr1,521451,763176,-,ENSG00000230021,AL669831.3
chr1,523009,530148,+,ENSG00000235146,AC114498.1
chr1,564442,564813,+,ENSG00000225972,MTND1P23
chr1,565020,566063,+,ENSG00000225630,MTND2P28
chr1,566454,567996,+,ENSG00000237973,MTCO1P12
chr1,568137,568818,+,ENSG00000229344,MTCO2P12
chr1,568915,569121,+,ENSG00000240409,MTATP8P1
chr1,569076,569756,+,ENSG00000248527,MTATP6P1
chr1,569756,570302,+,ENSG00000198744,MTCO3P12
chr1,610222,610645,+,ENSG00000268663,WBP1LP6
chr1,621059,622053,-,ENSG00000284662,OR4F16
chr1,657472,660283,+,ENSG00000229376,CICP3
chr1,661265,714006,-,ENSG00000228327,AL669831.1
chr1,677193,685396,-,ENSG00000235373,RP11-206L10.3
chr1,693613,693716,-,ENSG00000223181,RNU6-1199P
chr1,696291,697369,+,ENSG00000229905,AL669831.2
chr1,714150,745440,+,ENSG00000237491,AL669831.5
chr1,736259,753092,-,ENSG00000230092,AL669831.4
chr1,738532,739137,-,ENSG00000269831,AL669831.1
chr1,752751,755217,+,ENSG00000177757,FAM87B
chr1,760518,794826,+,ENSG00000228794,LINC01128
chr1,761586,762902,-,ENSG00000225880,LINC00115
chr1,803451,812283,-,ENSG00000230368,FAM41C
chr1,808672,809729,+,ENSG00000234711,TUBB8P11
chr1,809909,812614,-,ENSG00000283040,AL669831.6
chr1,818043,819983,+,ENSG00000269308,AL645608.2
chr1,840214,851356,+,ENSG00000272438,AL645608.7
chr1,846815,850328,+,ENSG00000230699,AL645608.3
chr1,849551,850351,+,ENSG00000241180,AL645608.5
chr1,852245,856396,-,ENSG00000223764,AL645608.1
chr1,859308,879961,+,ENSG00000187634,SAMD11
chr1,861264,866445,-,ENSG00000268179,AL645608.1
chr1,879584,894689,-,ENSG00000188976,NOC2L
chr1,895967,901095,+,ENSG00000187961,KLHL17
chr1,901877,911245,+,ENSG00000187583,PLEKHN1
chr1,910584,917473,-,ENSG00000187642,PERM1
chr1,931346,933431,-,ENSG00000272512,AL645608.8
chr1,934342,935552,-,ENSG00000188290,HES4
chr1,936518,949921,+,ENSG00000187608,ISG15
chr1,943456,943609,-,ENSG00000231702,AL645608.4
chr1,947377,948573,-,ENSG00000224969,AL645608.2
chr1,955503,991498,+,ENSG00000188157,AGRN
chr1,990413,991496,+,ENSG00000242590,AL645608.6
chr1,995114,1004735,+,ENSG00000217801,AL390719.1
chr1,997588,998668,-,ENSG00000273443,AL645608.9
chr1,1006346,1009687,-,ENSG00000237330,RNF223
chr1,1017198,1051741,-,ENSG00000131591,C1orf159
chr1,1072397,1079436,+,ENSG00000223823,LINC01342
chr1,1102484,1102578,+,ENSG00000207730,MIR200B
chr1,1103243,1103332,+,ENSG00000207607,MIR200A
chr1,1104385,1104467,+,ENSG00000198976,MIR429
chr1,1104737,1105723,+,ENSG00000272141,AL390719.2
chr1,1108436,1114935,-,ENSG00000205231,TTLL10-AS1
chr1,1109264,1133315,+,ENSG00000162571,TTLL10
chr1,1138888,1142071,-,ENSG00000186891,TNFRSF18
chr1,1146706,1149518,-,ENSG00000186827,TNFRSF4
chr1,1152288,1167411,-,ENSG00000078808,SDF4
chr1,1167645,1170421,+,ENSG00000176022,B3GALT6
chr1,1177826,1182102,-,ENSG00000184163,C1QTNF12
chr1,1185157,1186714,-,ENSG00000260179,AL162741.1
chr1,1189289,1209265,-,ENSG00000160087,UBE2J2
chr1,1210603,1215800,+,ENSG00000230415,LINC01786
chr1,1215816,1227409,+,ENSG00000162572,SCNN1D
chr1,1227756,1244989,-,ENSG00000131584,ACAP3
chr1,1243947,1247057,+,ENSG00000169972,PUSL1
chr1,1246965,1260071,-,ENSG00000127054,INTS11
chr1,1252961,1254069,-,ENSG00000240731,AL139287.1
chr1,1260136,1264277,+,ENSG00000224051,CPTP
chr1,1266694,1270686,+,ENSG00000169962,TAS1R3
chr1,1270656,1284730,-,ENSG00000107404,DVL1
chr1,1288069,1297157,-,ENSG00000162576,MXRA8
chr1,1309110,1310875,-,ENSG00000175756,AURKAIP1
chr1,1314046,1314412,+,ENSG00000223663,NDUFB4P8
chr1,1321091,1334708,-,ENSG00000221978,CCNL2
chr1,1334902,1337426,+,ENSG00000224870,AL391244.1
chr1,1337288,1342693,-,ENSG00000242485,MRPL20
chr1,1340841,1341132,-,ENSG00000264293,RN7SL657P
chr1,1344476,1345998,+,ENSG00000272455,AL391244.3
chr1,1353800,1357149,-,ENSG00000235098,ANKRD65
chr1,1355625,1358071,+,ENSG00000225905,AL391244.2
chr1,1361508,1363167,+,ENSG00000205116,TMEM88B
chr1,1365919,1369953,-,ENSG00000225285,LINC01770
chr1,1370241,1378262,+,ENSG00000179403,VWA1
chr1,1385069,1405538,+,ENSG00000215915,ATAD3C
chr1,1407149,1433228,+,ENSG00000160072,ATAD3B
chr1,1447531,1470067,+,ENSG00000197785,ATAD3A
chr1,1470554,1475833,-,ENSG00000205090,TMEM240
chr1,1477053,1510249,-,ENSG00000160075,SSU72
chr1,1497726,1499904,-,ENSG00000215791,AL645728.2
chr1,1510355,1512455,+,ENSG00000215014,AL645728.1
chr1,1515136,1515379,+,ENSG00000236684,AL645728.3
chr1,1518890,1519289,-,ENSG00000274481,AL691432.3
chr1,1533392,1535476,-,ENSG00000228594,FNDC10
chr1,1549138,1551175,-,ENSG00000272106,AL691432.2
chr1,1550795,1565990,+,ENSG00000197530,MIB2
chr1,1567474,1570639,+,ENSG00000189409,MMP23B
chr1,1570603,1590473,-,ENSG00000248333,CDK11B
chr1,1590786,1594063,+,ENSG00000272004,FO704657.1
chr1,1590990,1624167,-,ENSG00000189339,SLC35E2B
chr1,1603429,1605836,+,ENSG00000269737,AL691432.1
chr1,1631381,1633221,+,ENSG00000215914,MMP23A
chr1,1634169,1655763,-,ENSG00000008128,CDK11A
chr1,1634175,1669127,-,ENSG00000268575,AL031282.2
chr1,1655951,1668690,+,ENSG00000227775,AL031282.1
chr1,1656277,1677431,-,ENSG00000215790,SLC35E2
chr1,1682671,1711896,-,ENSG00000008130,NADK
chr1,1716724,1822556,-,ENSG00000078369,GNB1
chr1,1822910,1824097,+,ENSG00000231050,AL109917.1
chr1,1846266,1848735,+,ENSG00000169885,CALML6
chr1,1849029,1850712,-,ENSG00000178821,TMEM52
chr1,1853390,1935276,-,ENSG00000142609,CFAP74
chr1,1944652,1946969,-,ENSG00000233542,AL391845.2
chr1,1950737,1962197,+,ENSG00000187730,GABRD
chr1,1980642,1981509,-,ENSG00000226969,AL391845.1
chr1,1981909,2116834,+,ENSG00000067606,PRKCZ
chr1,2072523,2076718,-,ENSG00000271806,AL590822.2
chr1,2113233,2115828,-,ENSG00000182873,PRKCZ-AS1
chr1,2115900,2144159,-,ENSG00000162585,FAAP20
chr1,2121237,2123179,+,ENSG00000269554,AL590822.2
chr1,2143360,2145620,-,ENSG00000203301,AL590822.1
chr1,2143962,2152177,+,ENSG00000234396,AL590822.1
chr1,2160134,2241558,+,ENSG00000157933,SKI
chr1,2252692,2323146,-,ENSG00000116151,MORN1
chr1,2257640,2258132,-,ENSG00000272161,AL589739.1
chr1,2258581,2259042,+,ENSG00000269753,AL589739.1
chr1,2281853,2284259,-,ENSG00000269896,AL513477.1
chr1,2294500,2295067,-,ENSG00000272420,AL513477.2
chr1,2316811,2319922,+,ENSG00000178642,AL513477.1
